"bot","username","cnt"
false,"Ronhjones","1563"
false,"Thierry Caro","1042"
false,"HastaLaVi2","955"
false,"Danrok","243"
false,"Léna","210"
false,"Druschba 4","111"
false,"Fredddie","101"
false,"Jcb","99"
false,"Pietro","92"
false,"Ceranthor","90"
true,"Research Bot","1190"
true,"JarBot","985"
true,"FuzzyBot","933"
true,"Mr.Ibrahembot","513"
true,"SchlurcherBot","437"
true,"Andrebot","436"
true,"KolbertBot","433"
true,"Lsjbot","385"
true,"DatBot","340"
true,"TuanminhBot","287"
