"bot","username","cnt"
false,"Ronhjones","1563"
false,"Thierry Caro","1102"
false,"HastaLaVi2","1002"
false,"Danrok","243"
false,"Léna","216"
false,"Druschba 4","112"
false,"Jcb","103"
false,"Fredddie","101"
false,"Ceranthor","99"
false,"Gikü","97"
true,"Research Bot","1253"
true,"FuzzyBot","1024"
true,"JarBot","988"
true,"Mr.Ibrahembot","541"
true,"Andrebot","460"
true,"SchlurcherBot","460"
true,"KolbertBot","456"
true,"Lsjbot","405"
true,"DatBot","368"
true,"TuanminhBot","303"
