"bot","username","cnt"
false,"Pozzi.c","6"
false,"137.53.241.2","6"
false,"海物語","6"
false,"Hello513","6"
false,"Certes","6"
false,"Thibaut120094","6"
false,"Peter coxhead","6"
false,"Toasted Meter","6"
false,"VictorBrice","6"
false,"Jepse","6"
false,"Vinão Almeida","6"
false,"Anythingyouwant","6"
false,"197.48.185.128","6"
false,"Kani","6"
false,"Oo91","6"
false,"Equinox","6"
false,"RFD","6"
false,"62.28.64.102","6"
false,"Kurmis","6"
false,"Utente1989","6"
false,"Jarfe","6"
false,"Dim Grits","6"
false,"WAH","6"
false,"Enrevseluj","6"
false,"Rburton66","6"
false,"SchreiberBike","6"
false,"Jordan.d.o","6"
false,"E-Soter","6"
false,"GlitterantDagger","6"
false,"SuicideSociety","6"
false,"Robby","6"
false,"86.190.35.40","6"
false,"Sfs90","6"
false,"Diannaa","6"
false,"WhiteHartLane","6"
false,"PatLover","5"
false,"Visite fortuitement prolongée","5"
false,"186.104.174.237","5"
false,"Tappinen","5"
false,"ChandraHelsinky","5"
false,"Murgatroyd49","5"
false,"Dyveldi","5"
false,"Shadowxfox","5"
false,"Felipe da Fonseca","5"
false,"Martin Prunières","5"
false,"Érico","5"
false,"Krzysztof Łodzikowski","5"
false,"Gabriel2403","5"
false,"Beauty School Dropout","5"
false,"Mewtow","5"
false,"Шкурба Андрій Вікторович","5"
false,"Pob3qu3","5"
false,"Bötsy","5"
false,"Plucas58","5"
false,"옥타비아누스","5"
false,"Raymond","5"
false,"Tyseria","5"
false,"L bour","5"
false,"Koulmab","5"
false,"Metalla515","5"
false,"Kobrabones","5"
false,"Jorge de Carvalho","5"
false,"Starklinson","5"
false,"Piet.Wijker","5"
false,"98.176.212.3","5"
false,"FunnySquirrel12","5"
false,"Dr.Lantis","5"
false,"Wahrerwattwurm","5"
false,"SteinundBaum","5"
false,"UncleTupelo1","5"
false,"Green Giant","5"
false,"Renaud","5"
false,"Uncle Milty","5"
false,"Robbo128","5"
false,"Nomen ad hoc","5"
false,"AntiCompositeNumber","5"
false,"94.128.55.11","5"
false,"Zboris","5"
false,"Mattythewhite","5"
false,"GAndy","5"
false,"Trafalk09","5"
false,"Berdea","5"
false,"Quickfingers","5"
false,"JMPhillips92","5"
false,"Kiwima","4"
false,"Didibrn","4"
false,"Rhinen","4"
false,"Tom68000","4"
false,"Helixitta","4"
false,"133.236.99.182","4"
false,"Melaen","4"
false,"Kostas20142","4"
false,"Wakari07","4"
false,"Tdslk","4"
false,"TF92","4"
false,"Jordyvandebunt","4"
false,"Zugriff","4"
false,"Zekrom1357","4"
false,"Wkg321","4"
false,"114.142.172.22","4"
false,"2601:150:4080:5980:B954:3ABD:D4A0:675B","4"
false,"2601:18C:8600:CFD3:41EC:1D7D:26B0:C521","4"
false,"Sbalfour","4"
false,"Ented","4"
false,"Ldorfman","4"
false,"Geagea","4"
false,"Denvis1","4"
false,"Skulljujos","4"
false,"Hatake","4"
false,"Bsx","4"
false,"Schniggendiller","4"
false,"Kacir","4"
false,"Loracco","4"
false,"Piku","4"
false,"Ngrewal1","4"
false,"Changnick","4"
false,"Monow","4"
false,"DerDFB","4"
false,"Roberto Fiadone","4"
false,"Chessmatt309","4"
false,"Alfshire","4"
false,"Gaioa","4"
false,"Anr","4"
false,"Wdwd","4"
false,"Valdaec","4"
false,"Oakland Cumbiero","4"
false,"CFCF","4"
false,"Pcastellina","4"
false,"CommonsDelinker","4"
false,"Peter Gröbner","4"
false,"TrevelyanLittle","4"
false,"Ashleighhhh","4"
false,"فيصل","4"
false,"Yakiv Gluck","4"
false,"William Jexpire","4"
false,"Svlioras","4"
false,"Dmitry Rozhkov","4"
false,"Artix Kreiger","4"
false,"190.9.208.236","4"
false,"2603:300A:1F06:E200:B051:F0A9:D3B7:CC08","4"
false,"Walden69","4"
false,"Martin wolf","4"
false,"JLogan","4"
false,"Yesikag","4"
false,"Pcm","4"
false,"Fences and windows","4"
false,"Malabon","4"
false,"98.115.105.188","4"
false,"Tanjawaldek","4"
false,"82.132.221.106","4"
false,"GerritR","4"
false,"2600:1700:2320:3A50:69BA:5A3:283A:2301","4"
false,"Venlur","4"
false,"Stef65","4"
false,"Mistakenformatt","4"
false,"Joostik","4"
false,"OISV","4"
false,"Aldine Esperluette","4"
false,"1971markus","4"
false,"メルビル","4"
false,"Tector","4"
false,"71.79.10.251","4"
false,"Antondimak","4"
false,"2600:8802:1007:6400:CC4C:D548:9478:624D","4"
false,"Afus199620","4"
false,"Yapyu0220","4"
false,"Legalskeptic","4"
false,"Jbribeiro1","4"
false,"Anthony Appleyard","4"
false,"Larske","4"
false,"24.232.254.154","4"
false,"Gg. Any","4"
false,"IAlex2004","4"
false,"ArisMethymna","4"
false,"FloridaArmy","4"
false,"Shaded0","4"
false,"Demkoff","4"
false,"Power~enwiki","4"
false,"2800:2121:3000:5FE:1D6E:74B8:CF7B:1460","4"
false,"Varina","4"
false,"187.54.67.235","4"
false,"Rockhead126","3"
false,"GualdimG","3"
false,"David.r.1929","3"
false,"37.6.158.165","3"
false,"Peter-K","3"
false,"Bellerophon5685","3"
false,"ساکاتا گینتۆکی","3"
false,"Lacika455","3"
false,"Summstjr","3"
false,"173.94.201.3","3"
false,"Catfurball","3"
false,"Aoba47","3"
false,"2003:C7:3BEA:1D01:474:B393:D908:1B5D","3"
