"bot","username","cnt"
false,"Ronhjones","1254"
true,"JarBot","995"
true,"Research Bot","701"
false,"Thierry Caro","585"
false,"HastaLaVi2","561"
true,"Mr.Ibrahembot","286"
true,"RudolphousBot","276"
true,"Andrebot","263"
true,"SchlurcherBot","256"
true,"KolbertBot","255"
